编号,诗名称,作者,诗类型,链接
65,赠内人,张祜,七言绝句,https://so.gushiwen.cn/shiwenv_a6a842d363d7.aspx
66,集灵台·其一,张祜,七言绝句,https://so.gushiwen.cn/shiwenv_a951610b16c3.aspx
67,集灵台·其二,张祜,七言绝句,https://so.gushiwen.cn/shiwenv_b7ffdd67f154.aspx
68,枫桥夜泊,张继,七言绝句,https://so.gushiwen.cn/shiwenv_6fb73f607ad3.aspx
69,陇西行,陈陶,七言绝句,https://so.gushiwen.cn/shiwenv_43c5b73dbd73.aspx
70,杂诗,佚名,七言绝句,https://so.gushiwen.cn/shiwenv_4508caf3b53b.aspx
71,回乡偶书·其一,贺知章,七言绝句,https://so.gushiwen.cn/shiwenv_f459f8ed8d23.aspx
72,瑶瑟怨,温庭筠,七言绝句,https://so.gushiwen.cn/shiwenv_27d0e3654646.aspx
73,月夜,刘方平,七言绝句,https://so.gushiwen.cn/shiwenv_cb396f21ec13.aspx
74,春怨,刘方平,七言绝句,https://so.gushiwen.cn/shiwenv_8ab3c688ad04.aspx
75,乌衣巷,刘禹锡,七言绝句,https://so.gushiwen.cn/shiwenv_8b671db8c10d.aspx
76,春词,刘禹锡,七言绝句,https://so.gushiwen.cn/shiwenv_48936601c146.aspx
77,马嵬坡,郑畋,七言绝句,https://so.gushiwen.cn/shiwenv_a37f1f8335f9.aspx
78,寒食,韩翃,七言绝句,https://so.gushiwen.cn/shiwenv_f26e62f4bfc8.aspx
79,已凉,韩偓,七言绝句,https://so.gushiwen.cn/shiwenv_2c55b2038285.aspx
80,宫词,顾况,七言绝句,https://so.gushiwen.cn/shiwenv_026b627c41f6.aspx
81,送杜少府之任蜀州,王勃,五言律诗,https://so.gushiwen.cn/shiwenv_5775c79bcd34.aspx
82,送梓州李使君,王维,五言律诗,https://so.gushiwen.cn/shiwenv_099b402a826b.aspx
83,汉江临眺,王维,五言律诗,https://so.gushiwen.cn/shiwenv_d0c23694485b.aspx
84,终南别业,王维,五言律诗,https://so.gushiwen.cn/shiwenv_cd7027786b98.aspx
85,终南山,王维,五言律诗,https://so.gushiwen.cn/shiwenv_b2c5b8e21855.aspx
86,酬张少府,王维,五言律诗,https://so.gushiwen.cn/shiwenv_aedaa001525c.aspx
87,过香积寺,王维,五言律诗,https://so.gushiwen.cn/shiwenv_406aa95e0b46.aspx
88,辋川闲居赠裴秀才迪,王维,五言律诗,https://so.gushiwen.cn/shiwenv_81ad764f0e24.aspx
89,山居秋暝,王维,五言律诗,https://so.gushiwen.cn/shiwenv_44ba4afb80db.aspx
90,归嵩山作,王维,五言律诗,https://so.gushiwen.cn/shiwenv_a496667a51c2.aspx
91,次北固山下,王湾,五言律诗,https://so.gushiwen.cn/shiwenv_720b46d38537.aspx
92,云阳馆与韩绅宿别,司空曙,五言律诗,https://so.gushiwen.cn/shiwenv_ee15f96f22e5.aspx
93,喜外弟卢纶见宿,司空曙,五言律诗,https://so.gushiwen.cn/shiwenv_7661425bdf0a.aspx
94,贼平后送人北归,司空曙,五言律诗,https://so.gushiwen.cn/shiwenv_558c33fed0df.aspx
95,赋得古原草送别,白居易,五言律诗,https://so.gushiwen.cn/shiwenv_b7820a12ebaa.aspx
96,题大庾岭北驿,宋之问,五言律诗,https://so.gushiwen.cn/shiwenv_f2457a3f0cc0.aspx
97,寄左省杜拾遗,岑参,五言律诗,https://so.gushiwen.cn/shiwenv_85515020d919.aspx
98,听蜀僧濬弹琴,李白,五言律诗,https://so.gushiwen.cn/shiwenv_1c8072393007.aspx
99,夜泊牛渚怀古,李白,五言律诗,https://so.gushiwen.cn/shiwenv_bec0f7d48ce7.aspx
100,赠孟浩然,李白,五言律诗,https://so.gushiwen.cn/shiwenv_709b2d5c7ebf.aspx
101,渡荆门送别,李白,五言律诗,https://so.gushiwen.cn/shiwenv_d50eb19399e6.aspx
102,送友人,李白,五言律诗,https://so.gushiwen.cn/shiwenv_c348339f28fd.aspx
103,喜见外弟又言别,李益,五言律诗,https://so.gushiwen.cn/shiwenv_97ae866bedf5.aspx
104,凉思,李商隐,五言律诗,https://so.gushiwen.cn/shiwenv_d7b38e9592ad.aspx
105,北青萝,李商隐,五言律诗,https://so.gushiwen.cn/shiwenv_9319a4bb3629.aspx
106,蝉,李商隐,五言律诗,https://so.gushiwen.cn/shiwenv_435308d6a3e1.aspx
107,风雨,李商隐,五言律诗,https://so.gushiwen.cn/shiwenv_9fe305a09b2a.aspx
108,落花,李商隐,五言律诗,https://so.gushiwen.cn/shiwenv_100a2931dea0.aspx
