编号,诗名称,作者,诗类型,链接
264,观公孙大娘弟子舞剑器行,杜甫,七言古诗,https://so.gushiwen.cn/shiwenv_ab7f5336bda5.aspx
265,韦讽录事宅观曹将军画马,杜甫,七言古诗,https://so.gushiwen.cn/shiwenv_7c47313a3245.aspx
266,丹青引赠曹霸将军,杜甫,七言古诗,https://so.gushiwen.cn/shiwenv_0b8b1899dd68.aspx
267,寄韩谏议,杜甫,七言古诗,https://so.gushiwen.cn/shiwenv_f136f1f6a500.aspx
268,夜归鹿门山歌,孟浩然,七言古诗,https://so.gushiwen.cn/shiwenv_55c0a0ea874e.aspx
269,渔翁,柳宗元,七言古诗,https://so.gushiwen.cn/shiwenv_3aba195e605d.aspx
270,登幽州台歌,陈子昂,七言古诗,https://so.gushiwen.cn/shiwenv_4083a01ac833.aspx
271,石鼓歌,韩愈,七言古诗,https://so.gushiwen.cn/shiwenv_20bc181ba92d.aspx
272,山石,韩愈,七言古诗,https://so.gushiwen.cn/shiwenv_c63d202ca1e1.aspx
273,八月十五夜赠张功曹,韩愈,七言古诗,https://so.gushiwen.cn/shiwenv_7f2806398cdc.aspx
274,谒衡岳庙遂宿岳寺题门楼,韩愈,七言古诗,https://so.gushiwen.cn/shiwenv_516481aac665.aspx
275,凉州词,王之涣,七言古诗,https://so.gushiwen.cn/shiwenv_3963afd966bc.aspx
276,出塞·秦时明月汉时关,王昌龄,七言古诗,https://so.gushiwen.cn/shiwenv_b9e14c6e09aa.aspx
277,塞上曲·蝉鸣空桑林,王昌龄,七言古诗,https://so.gushiwen.cn/shiwenv_f9e0d2f2e6ca.aspx
278,塞下曲·饮马渡秋水,王昌龄,七言古诗,https://so.gushiwen.cn/shiwenv_a62c96a4c183.aspx
279,长信怨,王昌龄,七言古诗,https://so.gushiwen.cn/shiwenv_a17757fab9fb.aspx
280,渭城曲,王维,七言古诗,https://so.gushiwen.cn/shiwenv_12a2295aa76b.aspx
281,秋夜曲,王维,七言古诗,https://so.gushiwen.cn/shiwenv_46e77c265577.aspx
282,洛阳女儿行,王维,七言古诗,https://so.gushiwen.cn/shiwenv_e3bfcb5ede2b.aspx
283,老将行,王维,七言古诗,https://so.gushiwen.cn/shiwenv_06c78d21bac2.aspx
284,桃源行,王维,七言古诗,https://so.gushiwen.cn/shiwenv_231daf6badef.aspx
285,清平调·云想衣裳花想容,李白,七言古诗,https://so.gushiwen.cn/shiwenv_170df91879a2.aspx
286,清平调·一枝红艳露凝香,李白,七言古诗,https://so.gushiwen.cn/shiwenv_4b5845ac138d.aspx
287,清平调·名花倾国两相欢,李白,七言古诗,https://so.gushiwen.cn/shiwenv_29165f23cefd.aspx
288,行路难·金樽清酒斗十千,李白,七言古诗,https://so.gushiwen.cn/shiwenv_870828ca8aaa.aspx
289,行路难·大道如青天,李白,七言古诗,https://so.gushiwen.cn/shiwenv_95834b2324cc.aspx
290,行路难·有耳莫洗颍川水,李白,七言古诗,https://so.gushiwen.cn/shiwenv_4d3b4d132c82.aspx
291,将进酒,李白,七言古诗,https://so.gushiwen.cn/shiwenv_ee16df5673bc.aspx
292,玉阶怨,李白,七言古诗,https://so.gushiwen.cn/shiwenv_f1ad949fed22.aspx
293,长相思·其一,李白,七言古诗,https://so.gushiwen.cn/shiwenv_8f424591685d.aspx
294,长相思·其二,李白,七言古诗,https://so.gushiwen.cn/shiwenv_edfc02db5bb3.aspx
295,长干行·其一,李白,七言古诗,https://so.gushiwen.cn/shiwenv_2d0368e3fb76.aspx
296,蜀道难,李白,七言古诗,https://so.gushiwen.cn/shiwenv_d59ec5d6c91c.aspx
297,子夜吴歌·春歌,李白,七言古诗,https://so.gushiwen.cn/shiwenv_21a94dcfbfa3.aspx
298,子夜吴歌·夏歌,李白,七言古诗,https://so.gushiwen.cn/shiwenv_b5dde84240ea.aspx
299,子夜吴歌·秋歌,李白,七言古诗,https://so.gushiwen.cn/shiwenv_ed5d95fe49c7.aspx
300,子夜吴歌·冬歌,李白,七言古诗,https://so.gushiwen.cn/shiwenv_fdc3a79d25a8.aspx
301,关山月,李白,七言古诗,https://so.gushiwen.cn/shiwenv_b12f5b4193fd.aspx
302,江南曲,李益,七言古诗,https://so.gushiwen.cn/shiwenv_01536e4b8dfb.aspx
303,古从军行,李颀,七言古诗,https://so.gushiwen.cn/shiwenv_564a9a68c08b.aspx
304,哀王孙,杜甫,七言古诗,https://so.gushiwen.cn/shiwenv_c7b4689c87e3.aspx
305,兵车行,杜甫,七言古诗,https://so.gushiwen.cn/shiwenv_977076fa07f4.aspx
306,丽人行,杜甫,七言古诗,https://so.gushiwen.cn/shiwenv_3d39d2ba54ca.aspx
307,哀江头,杜甫,七言古诗,https://so.gushiwen.cn/shiwenv_5be82977acf5.aspx
308,金缕衣,佚名,七言古诗,https://so.gushiwen.cn/shiwenv_d5cea0c3607d.aspx
309,独不见,沈佺期,七言古诗,https://so.gushiwen.cn/shiwenv_f46d7bbf66b8.aspx
310,烈女操,孟郊,七言古诗,https://so.gushiwen.cn/shiwenv_5a67990459e3.aspx
311,游子吟,孟郊,七言古诗,https://so.gushiwen.cn/shiwenv_161d06b0b556.aspx
312,燕歌行,高适,七言古诗,https://so.gushiwen.cn/shiwenv_4c7868ec4409.aspx
313,长干行·君家何处住,崔颢,七言古诗,https://so.gushiwen.cn/shiwenv_e2464f9806b5.aspx
314,长干行·家临九江水,崔颢,七言古诗,https://so.gushiwen.cn/shiwenv_508647475cf8.aspx
315,塞下曲·鹫翎金仆姑,卢纶,七言古诗,https://so.gushiwen.cn/shiwenv_f68140f3dc1f.aspx
316,塞下曲·林暗草惊风,卢纶,七言古诗,https://so.gushiwen.cn/shiwenv_941746126d83.aspx
317,塞下曲·月黑雁飞高,卢纶,七言古诗,https://so.gushiwen.cn/shiwenv_9a9463173105.aspx
318,塞下曲·野幕敞琼筵,卢纶,七言古诗,https://so.gushiwen.cn/shiwenv_cdc327abcbc1.aspx
